CleanArea,CombinedArea,Country,lat,lng
Florida Straits,"Florida Straits, BAHAMAS",BAHAMAS,24.9999154,-79.7499459
Gulf of Lyons,"Gulf of Lyons, FRANCE",FRANCE,45.74846,4.84671
C diz,"C diz, SPAIN",SPAIN,40.4453561,-3.5951131
Sicily,"Sicily, ITALY",ITALY,37.587794,14.155048
Andikira Fokithes,"Andikira Fokithes, GREECE",GREECE,39.0,22.0
Central Philippines,"Central Philippines, PHILIPPINES",PHILIPPINES,12.7503486,122.7312101
Rhode Island,"Rhode Island, USA",USA,41.7962409,-71.5992372
Northwest Italy,"Northwest Italy, ITALY",ITALY,42.611735,-77.2919246
English Channel,,,,
North South Carolina,"North South Carolina, USA",USA,33.6157083,-81.1020414
Kumamoto Prefecture,"Kumamoto Prefecture, JAPAN",JAPAN,32.6450475,130.6341345
Biserta,"Biserta, TUNISIA",TUNISIA,37.2720905,9.8708565
Saint Philippe,"Saint Philippe, REUNION",REUNION,-21.3606197,55.7660672
Chungnam,"Chungnam, SOUTH KOREA",SOUTH KOREA,36.6593,126.6729
Eronogo Region,"Eronogo Region, NAMIBIA",NAMIBIA,-22.0,17.0
Coquimbo,"Coquimbo, CHILE",CHILE,-30.7546652,-70.9005536
Pagasitikos Gulf,"Pagasitikos Gulf, GREECE",GREECE,39.0,22.0
St Mary s Parish,"St Mary s Parish, JAMAICA",JAMAICA,18.16667,-77.25
Romblon Province,"Romblon Province, PHILIPPINES",PHILIPPINES,12.5777177,122.2695877
Lamu Archipelago,"Lamu Archipelago, KENYA",KENYA,-2.2717426,40.9027109
Los Vilos,"Los Vilos, CHILE",CHILE,-31.9121611,-71.5138887
Island of Kos,"Island of Kos, GREECE",GREECE,36.7936933,27.0848266
Madeira Islands,"Madeira Islands, PORTUGAL",PORTUGAL,32.66667,-16.75
Ho Ha Wan Marine Park,"Ho Ha Wan Marine Park, HONG KONG",HONG KONG,22.28552,114.15769
Thailand,"Thailand, THAILAND",THAILAND,14.8971921,100.83273
Venezia,"Venezia, ITALY",ITALY,45.4371908,12.3345898
Ralik Archipelago,"Ralik Archipelago, MARSHALL ISLANDS",MARSHALL ISLANDS,7.113,171.236
South China Sea Hong Kong,"South China Sea Hong Kong, HONG KONG",HONG KONG,22.28552,114.15769
Reggio Calabria Province,"Reggio Calabria Province, ITALY",ITALY,38.1035389,15.6397556
Mirs Bay,"Mirs Bay, HONG KONG",HONG KONG,22.5431398,114.3804656
Genoa Province,"Genoa Province, ITALY",ITALY,44.40726,8.9338624
Ganges Brahmaputra delta,"Ganges Brahmaputra delta, BANGLADESH",BANGLADESH,23.0,89.0
Red Sea,"Red Sea, ISRAEL",ISRAEL,29.5040291,34.9176351
Primorje Gorski Kotar County,"Primorje Gorski Kotar County, CROATIA",CROATIA,45.4225937,14.6172032
Aulong Island,"Aulong Island, PALAU",PALAU,7.27853,134.29623
Caroline Islands,"Caroline Islands, PALAU",PALAU,41.17936,9.3819
Upolu Island,"Upolu Island, WESTERN SAMOA",WESTERN SAMOA,-13.9209349,-171.7755764
Antibes,"Antibes, FRANCE",FRANCE,43.5836,7.10905
Illeginni,"Illeginni, MARSHALL ISLANDS",MARSHALL ISLANDS,9.0860819,167.4736755
Istria County,"Istria County, CROATIA",CROATIA,45.2098898,13.6822959
South Devon,"South Devon, BRITISH ISLES",BRITISH ISLES,54.0,-4.0
Beira Maputo,"Beira Maputo, MOZAMBIQUE",MOZAMBIQUE,-25.9068254,32.612638
Khuzestan Province,"Khuzestan Province, IRAN",IRAN,31.5535141,49.0077168
Namonuito,"Namonuito, MICRONESIA",MICRONESIA,8.9893699,150.1225296
Eastern Caroline Islands,"Eastern Caroline Islands, MICRONESIA",MICRONESIA,6.924,158.1625
Caroline Islands North,"Caroline Islands North, PALAU",PALAU,41.17936,9.3819
St Andrew Parish,"St Andrew Parish, GRENADA",GRENADA,18.0266839,-76.7793444
Manila,"Manila, PHILIPPINES",PHILIPPINES,14.5907332,120.9809674
Limpopo River,"Limpopo River, MOZAMBIQUE",MOZAMBIQUE,-23.3054677,31.9222464
Devon,"Devon, ENGLAND",ENGLAND,50.724165,-3.6607958
New Ireland Province,"New Ireland Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-3.0,151.5
Province,"Province, SRI LANKA",SRI LANKA,7.8776642,80.6624095
Zadar County,"Zadar County, CROATIA",CROATIA,44.2232882,15.3739652
Basrah,"Basrah, IRAQ",IRAQ,30.5805102,47.5690327
Clarendon,"Clarendon, JAMAICA",JAMAICA,17.9518525,-77.2719277
Moro Gulf,"Moro Gulf, PHILIPPINES",PHILIPPINES,6.85,123.0
Johor,"Johor, MALAYSIA",MALAYSIA,2.0229012,103.3147721
Magdalena Department,"Magdalena Department, COLUMBIA",COLUMBIA,34.00071,-81.03481
Mafia Island,"Mafia Island, TANZANIA",TANZANIA,-7.8166985,39.8080259
Gulf Province,"Gulf Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-7.1100984,147.2810689
Morobe Province,"Morobe Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-7.7585388,147.5959303
Lim n Province,"Lim n Province, COSTA RICA",COSTA RICA,-11.953991,-77.0527895
Veracruz,"Veracruz, MEXICO",MEXICO,19.333333,-96.666667
Brindisi Province,"Brindisi Province, ITALY",ITALY,40.6395295,17.945526
Kagawa Prefecture,"Kagawa Prefecture, JAPAN",JAPAN,34.2480104,134.0586579
Hamilton,"Hamilton, BERMUDA",BERMUDA,32.2956076,-64.7827048
Out Islands,"Out Islands, BAHAMAS",BAHAMAS,25.04082,-77.37122
Mugla Province,"Mugla Province, TURKEY",TURKEY,37.215154,28.3637726
Gibraltar,"Gibraltar, UNITED KINGDOM",UNITED KINGDOM,51.791921,-0.9022301
Bay of Maputo,"Bay of Maputo, MOZAMBIQUE",MOZAMBIQUE,-25.966213,32.56745
Duke of York Islands,"Duke of York Islands, NEW BRITAIN",NEW BRITAIN,-4.1787518,152.4425598
Taranto province,"Taranto province, ITALY",ITALY,40.4712427,17.2432278
Northern Taiwan,"Northern Taiwan, TAIWAN",TAIWAN,25.0043271,121.5099962
Admiralty Islands Manus Province,"Admiralty Islands Manus Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-2.2235542,147.0182858
Red Sea,"Red Sea, SUDAN",SUDAN,20.0,36.0
North Sumatra,"North Sumatra, INDONESIA",INDONESIA,2.1923519,99.3812201
Hawaii,"Hawaii, PACIFIC OCEAN ",PACIFIC OCEAN ,21.297472,-157.8163156
Caribbean Sea,"Caribbean Sea, PANAMA",PANAMA,27.0028026,33.910209
West coast,"West coast, NEW BRITAIN",NEW BRITAIN,51.5416044,-0.0003393
Sepik,"Sepik, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-4.2876403,142.2509127
Bougainville North Solomons,"Bougainville North Solomons, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-6.1443288,155.2063193
Central Province,"Central Province, NEW GUINEA",NEW GUINEA,-5.5225988,142.0871176
Gulf of Aqaba,"Gulf of Aqaba, RED SEA",RED SEA,27.18624,33.78845
Okayama Prefecture,"Okayama Prefecture, JAPAN",JAPAN,34.8581334,133.7759256
San Blas,"San Blas, PANAMA",PANAMA,9.1958404,-77.8852763
Connecticut,"Connecticut, USA",USA,41.6500201,-72.7342163
Lau Group,"Lau Group, FIJI",FIJI,-18.33333,-178.5
Caribbean Coast,"Caribbean Coast, PANAMA",PANAMA,-31.0766377,30.1974623
Puntarenas Province,"Puntarenas Province, COSTA RICA",COSTA RICA,9.9780257,-84.831251
Lomaloma Lau,"Lomaloma Lau, FIJI",FIJI,-12.50896,177.04823
Southampton Canary Islands,"Southampton Canary Islands, ATLANTIC OCEAN",ATLANTIC OCEAN,-45.0,-15.0
South Coast East New Britain,"South Coast East New Britain, NEW BRITAIN",NEW BRITAIN,41.66121,-72.77954
Lau Province,"Lau Province, FIJI",FIJI,-18.2498939,178.0767764
Ysabel Island,"Ysabel Island, SOLOMON ISLANDS",SOLOMON ISLANDS,-7.97526,159.13353
Santo Domingo,"Santo Domingo, DOMINICAN REPUBLIC",DOMINICAN REPUBLIC,18.4801972,-69.942111
Eastern Caroline Islands,"Eastern Caroline Islands, FEDERATED STATES OF MICRONESIA",FEDERATED STATES OF MICRONESIA,6.924,158.1625
Thessaly,"Thessaly, GREECE",GREECE,39.5649006,22.1538486
Bougainville North Solomons,"Bougainville North Solomons, SOLOMON ISLANDS",SOLOMON ISLANDS,-8.0,159.0
Lomaiviti,"Lomaiviti, FIJI",FIJI,-17.7990458,177.4075318
Rodrigues,"Rodrigues, MAURITIUS",MAURITIUS,-19.7195149,63.4175687
Manus Island,"Manus Island, ADMIRALTY ISLANDS",ADMIRALTY ISLANDS,-2.1032135,146.932737
Pinas Bay,"Pinas Bay, PANAMA",PANAMA,9.0,-80.0
Grand Turk Island,"Grand Turk Island, BRITISH WEST INDIES",BRITISH WEST INDIES,18.0,-68.0
West Africa,"West Africa, SOUTH ATLANTIC OCEAN",SOUTH ATLANTIC OCEAN,-45.0,-15.0
Sharon,"Sharon, ISRAEL",ISRAEL,32.6901174,34.9424535
Antalya Province,"Antalya Province, TURKEY",TURKEY,36.9009641,30.6954846
Northern District,"Northern District, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-9.0,148.5
New Ireland Province Bismarck Archipelago,"New Ireland Province Bismarck Archipelago, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.0,150.0
Cyclades,"Cyclades, GREECE",GREECE,37.0600105,25.4707567
Coromandel,"Coromandel, NEW ZEALAND",NEW ZEALAND,-36.7571639,175.5007016
Madang,"Madang, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.0,145.5
Guadalcanal Province,"Guadalcanal Province, SOLOMON ISLANDS",SOLOMON ISLANDS,-9.6699483,160.0773922
S E,"S E, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-6.0,147.0
Kwajalein,"Kwajalein, MARSHALL ISLANDS",MARSHALL ISLANDS,9.1257934,167.5740472
Flores,"Flores, INDONESIA",INDONESIA,-8.3183877,123.1658352
Shefa Province,"Shefa Province, VANUATU",VANUATU,-17.3283967,168.2547316
Bermuda,"Bermuda, MID ATLANTIC OCEAN",MID ATLANTIC OCEAN,-45.0,-15.0
Persian Gulf,"Persian Gulf, PERSIAN GULF",PERSIAN GULF,27.0,51.0
Venice Province,"Venice Province, ITALY",ITALY,45.4371908,12.3345898
Sandaun Province,"Sandaun Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-3.5,142.0
Anatolia,"Anatolia, TURKEY",TURKEY,39.0,32.0
New Britain Province,"New Britain Province, NEW BRITAIN",NEW BRITAIN,41.6612104,-72.7795419
United Arab Emirates,"United Arab Emirates, PERSIAN GULF",PERSIAN GULF,27.0,51.0
Wake Island EnenKio,"Wake Island EnenKio, NORTH PACIFIC OCEAN",NORTH PACIFIC OCEAN,30.0,-170.0
S E,"S E, FIJI",FIJI,24.2669935,38.5666421
Pennsylvania,"Pennsylvania, USA",USA,40.9699889,-77.7278831
N W,"N W, ATLANTIC OCEAN",ATLANTIC OCEAN,13.581921,-38.320312
Roncador Bank,"Roncador Bank, COLUMBIA",COLUMBIA,13.533816,-80.0511905
District,"District, NEW GUINEA",NEW GUINEA,11.1528719,-12.4786622
Aden,"Aden, RED SEA / INDIAN OCEAN",RED SEA / INDIAN OCEAN,-10.0,70.0
Okinawa,"Okinawa, PACIFIC OCEAN",PACIFIC OCEAN,3.51342,-132.1875
Eniwetok,"Eniwetok, MARSHALL ISLANDS",MARSHALL ISLANDS,11.5141037,162.0643932
Delagoa Bay,"Delagoa Bay, MOZAMBIQUE",MOZAMBIQUE,-25.9833333,32.7
In the English Channel,"In the English Channel, ENGLAND",ENGLAND,50.780805,-0.678208
Cook Strait,"Cook Strait, NEW ZEALAND",NEW ZEALAND,-41.25,174.5
Unknown treated at Wick SCOTLAND,"Unknown treated at Wick SCOTLAND, NORTH SEA",NORTH SEA,40.93288,-72.41425
Corregidor Island,"Corregidor Island, PHILIPPINES",PHILIPPINES,14.3831744,120.5739501
Paget,"Paget, BERMUDA",BERMUDA,32.2839354,-64.7765726
N W,"N W, BERMUDA",BERMUDA,32.33022,-64.74003
Casamance,"Casamance, SENEGAL",SENEGAL,12.8665887,-14.9705138
Madang WO,"Madang WO, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-6.0,147.0
Pacific coast,"Pacific coast, NICARAGUA ",NICARAGUA ,13.0,-85.0
St Georges,"St Georges, GRENADA",GRENADA,12.0535331,-61.751805
Northwest of Viti Levu,"Northwest of Viti Levu, FIJI",FIJI,-18.0,178.0
West New Britain Province,"West New Britain Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.87833,149.82605
Rigo subdistrict,"Rigo subdistrict, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-6.0,147.0
Masbate,"Masbate, PHILIPPINES",PHILIPPINES,12.166667,123.583333
Sri Lanka,"Sri Lanka, MALDIVE ISLANDS",MALDIVE ISLANDS,3.25,73.0
Lomaiviti Province,"Lomaiviti Province, FIJI",FIJI,-17.7990458,177.4075318
Kadavu,"Kadavu, FIJI",FIJI,-19.047994,178.3629377
Leyte,"Leyte, PHILIPPINES",PHILIPPINES,10.95,124.85
Orissa,"Orissa, INDIA",INDIA,20.5431241,84.6897321
Hokkaido Prefecture,"Hokkaido Prefecture, JAPAN",JAPAN,43.4519831,142.8197834
North Palawan,"North Palawan, PHILIPPINES",PHILIPPINES,10.0,118.75
Queaon,"Queaon, PHILIPPINES",PHILIPPINES,13.0,122.0
Istria,"Istria, CROATIA",CROATIA,45.1934345,13.9150536
PANAMA,"PANAMA, CARIBBEAN SEA",CARIBBEAN SEA,17.4894221,-62.9559809
In the Gulf Stream,"In the Gulf Stream, NORTH ATLANTIC OCEAN",NORTH ATLANTIC OCEAN,40.0,-40.0
Mersin Province,"Mersin Province, TURKEY",TURKEY,36.8117583,34.6292679
Guyamas,"Guyamas, MEXICO",MEXICO,23.0,-102.0
England South Africa,"England South Africa, MID ATLANTIC OCEAN",MID ATLANTIC OCEAN,-45.0,-15.0
Mindanao,"Mindanao, PHILIPPINES",PHILIPPINES,12.7503486,122.7312101
Kikori River mouth,"Kikori River mouth, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-6.0,147.0
Milne Bay Province,"Milne Bay Province, NEW GUINEA",NEW GUINEA,-5.0,140.0
South Chungcheong Province,"South Chungcheong Province, SOUTH KOREA",SOUTH KOREA,36.6593,126.6729
Ahirkapi coast,"Ahirkapi coast, TURKEY",TURKEY,39.0,35.0
Tutuila Island,"Tutuila Island, AMERICAN SAMOA",AMERICAN SAMOA,-14.3064653,-170.7597128
Hawaii Wake Island,"Hawaii Wake Island, PACIFIC OCEAN",PACIFIC OCEAN,3.51342,-132.1875
Taipei Hsien,"Taipei Hsien, TAIWAN",TAIWAN,24.9748864,121.5328702
Ibaraki Prefecture,"Ibaraki Prefecture, JAPAN",JAPAN,36.2869536,140.4703384
South,"South, SAMOA",SAMOA,-13.7693895,-172.1200508
Canal Zone,"Canal Zone, PANAMA",PANAMA,8.9536841,-79.5376179
Hawaii,"Hawaii, PACIFIC OCEAN",PACIFIC OCEAN,21.297472,-157.8163156
Honiara,"Honiara, SOLOMON ISLANDS",SOLOMON ISLANDS,-9.4310769,159.9552552
Yucatan Channel,"Yucatan Channel, CUBA",CUBA,22.0,-79.5
Havana Province,"Havana Province, CUBA",CUBA,23.135305,-82.3589631
Karun River,"Karun River, IRAN",IRAN,31.6375794,48.8862525
Abau Sub District Central Province,"Abau Sub District Central Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-10.0,148.0
New Britain Bismarck Archipelago,"New Britain Bismarck Archipelago, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.0,150.0
Estuaire Province,"Estuaire Province, GABON",GABON,0.399485,9.5153779
Dakar Cap Vert Peninsula,"Dakar Cap Vert Peninsula, SENEGAL",SENEGAL,14.5,-14.25
Mozambique Channel,"Mozambique Channel, MAYOTTE",MAYOTTE,-12.83333,45.16667
Tyrrenian Sea,"Tyrrenian Sea, ITALY",ITALY,42.83333,12.83333
Congreve Channel,"Congreve Channel, MALTA",MALTA,35.8196071,14.4530475
St Thomas Bay,"St Thomas Bay, MALTA",MALTA,35.8524926,14.5653597
Madeira,"Madeira, PORTUGAL",PORTUGAL,32.7517488,-16.981752
Corfu,"Corfu, GREECE",GREECE,39.591337,19.8596189
Hawaii,"Hawaii, NORTH PACIFIC OCEAN",NORTH PACIFIC OCEAN,30.0,-170.0
Izo Islands,"Izo Islands, JAPAN",JAPAN,35.68536,139.75309
Open sea,"Open sea, NORTH ATLANTIC OCEAN ",NORTH ATLANTIC OCEAN ,40.0,-40.0
Aden,"Aden, YEMEN",YEMEN,12.789585,45.028504
New Ireland Bismarck Archipelago,"New Ireland Bismarck Archipelago, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-5.0,150.0
S E,"S E, MADAGASCAR",MADAGASCAR,-32.918904,-60.8140683
Illinois,"Illinois, USA",USA,40.0796606,-89.4337288
Isles del Rosario,"Isles del Rosario, COLUMBIA",COLUMBIA,7.83389,-72.47417
Wake Island,"Wake Island, USA",USA,19.2898893,166.6492174
Isle of Man,"Isle of Man, UNITED KINGDOM",UNITED KINGDOM,53.7795873,-2.483369
Nagasaki Prefecture,"Nagasaki Prefecture, JAPAN",JAPAN,33.1154683,129.7874339
Slovenia,"Slovenia, THE BALKANS",THE BALKANS,40.946888,54.495243
South shore,"South shore, BERMUDA",BERMUDA,32.371396,-64.6972153
Red Sea,"Red Sea, SUDAN?",SUDAN?,20.0,36.0
Buenos Aires Province,"Buenos Aires Province, ARGENTINA",ARGENTINA,-47.3447696,-66.8025582
Wake Island,"Wake Island, PACIFIC OCEAN",PACIFIC OCEAN,3.51342,-132.1875
Nova Scotia,"Nova Scotia, CANADA",CANADA,45.1960403,-63.1653789
Gulf of Panama,"Gulf of Panama, PANAMA",PANAMA,8.2818618,-79.7727122
Teramo,"Teramo, ITALY",ITALY,42.6581179,13.6996246
Red Sea State,"Red Sea State, SUDAN",SUDAN,20.0,36.0
Curacao,"Curacao, NETHERLANDS ANTILLES",NETHERLANDS ANTILLES,12.11721,-68.91964
Port Louis Province,"Port Louis Province, MAURITIUS",MAURITIUS,-20.1637281,57.5045331
Montserrado,"Montserrado, LIBERIA",LIBERIA,6.4095537,-10.6059403
Bay of Maputu,"Bay of Maputu, MOZAMBIQUE",MOZAMBIQUE,-25.966213,32.56745
Sofala Province,"Sofala Province, MOZAMBIQUE",MOZAMBIQUE,-20.1561586,34.738304
South Carolina,"South Carolina, NORTH ATLANTIC OCEAN",NORTH ATLANTIC OCEAN,40.0,-40.0
Salerno,"Salerno, ITALY",ITALY,40.4194416,15.3107562
Salerno Province,"Salerno Province, ITALY",ITALY,40.6803601,14.7594542
Taranto,"Taranto, ITALY",ITALY,40.5488156,17.0805801
Caribbean Sea,"Caribbean Sea, COLUMBIA",COLUMBIA,12.5814669,-81.6923325
Naples Province,"Naples Province, ITALY",ITALY,40.8359336,14.2487826
Madang Province,"Madang Province, NEW GUINEA",NEW GUINEA,-5.0,140.0
Eastern Province,"Eastern Province, SAUDI ARABIA",SAUDI ARABIA,23.3036077,50.1258804
Sago Prefecture,"Sago Prefecture, JAPAN",JAPAN,33.875647,132.0619524
Savona,"Savona, ITALY",ITALY,44.2334238,8.2525727
Caribbean Sea,"Caribbean Sea, CUBA",CUBA,22.0,-79.5
Jakarta Harbour,"Jakarta Harbour, INDONESIA",INDONESIA,-5.0,120.0
Singapore Harbor,"Singapore Harbor, SINGAPORE",SINGAPORE,1.28967,103.85007
Calabria,"Calabria, ITALY",ITALY,39.0565974,16.5249864
Shatt al Arab River,"Shatt al Arab River, IRAN",IRAN,32.0,53.0
Tamaulipas,"Tamaulipas, MEXICO",MEXICO,23.9891553,-98.7026825
Calvados Archipelago,"Calvados Archipelago, NEW GUINEA",NEW GUINEA,-5.0,140.0
Abau Sub District Central Province,"Abau Sub District Central Province, NEW GUINEA",NEW GUINEA,-5.0,140.0
Kwajalein Johnston Island,"Kwajalein Johnston Island, NORTH PACIFIC OCEAN",NORTH PACIFIC OCEAN,30.0,-170.0
Attica,"Attica, GREECE",GREECE,37.9946543,23.7994025
Adana Province,"Adana Province, TURKEY",TURKEY,36.9936175,35.3258349
Bandar Ma shur sea inlet,"Bandar Ma shur sea inlet, IRAN",IRAN,32.0,53.0
Saipan,"Saipan, NORTHERN MARIANA ISLANDS",NORTHERN MARIANA ISLANDS,15.1872705,145.7807738
Morobe Province,"Morobe Province, NEW GUINEA",NEW GUINEA,-5.0,140.0
Carpathian Sea,"Carpathian Sea, GREECE",GREECE,39.0,22.0
Gaza,"Gaza, ISRAEL",ISRAEL,32.0500069,34.7600168
Dar es Salaam,"Dar es Salaam, TANZANIA",TANZANIA,-6.8160837,39.2803583
Head of the Gulf,"Head of the Gulf, PERSIAN GULF",PERSIAN GULF,27.0,51.0
Ryukyu,"Ryukyu, JAPAN",JAPAN,26.2497205,127.7656311
Shatt al Arab River,"Shatt al Arab River, IRAN / IRAQ",IRAN / IRAQ,34.09174,49.68916
In transit between Tinian and Leyte,"In transit between Tinian and Leyte, PHILIPPINES",PHILIPPINES,10.91667,124.66667
Northern Java,"Northern Java, JAVA",JAVA,-7.5771062,110.8280679
Tel Aviv,"Tel Aviv, ISRAEL",ISRAEL,32.0852997,34.7818064
Colon Province,"Colon Province, PANAMA",PANAMA,-5.09024,-80.1635966
Area,"Area, SIERRA LEONE",SIERRA LEONE,5.6138915,-0.1766071
Bernardino Strait near Gulf of Leyte,"Bernardino Strait near Gulf of Leyte,  PHILIPPINES", PHILIPPINES,13.0,122.0
Samar Island,"Samar Island, PHILIPPINES",PHILIPPINES,11.833333,125.0
Lake Nicaragua,"Lake Nicaragua, NICARAGUA",NICARAGUA,11.5739595,-85.3113228
Pacific Ocean,"Pacific Ocean, NEW GUINEA",NEW GUINEA,-5.0,140.0
Fiji Islands,"Fiji Islands, PACIFIC OCEAN",PACIFIC OCEAN,3.51342,-132.1875
Naples,"Naples, ITALY",ITALY,40.8359336,14.2487826
Northwest of Papua New Guinea,"Northwest of Papua New Guinea, PACIFIC OCEAN",PACIFIC OCEAN,3.51342,-132.1875
Midway,"Midway, USA",USA,31.0260203,-95.7505033
West of Ceylon Sri Lanka,"West of Ceylon Sri Lanka, INDIAN OCEAN",INDIAN OCEAN,-10.0,70.0
Java,"Java, INDONESIA",INDONESIA,-7.3281445,109.6140549
Camiguin Island,"Camiguin Island, PHILIPPINES",PHILIPPINES,9.173889,124.709444
Cay Sal Bank,"Cay Sal Bank, BAHAMAS",BAHAMAS,23.8267608,-80.0759009
Southwestern Pacific,"Southwestern Pacific, MID-PACIFC OCEAN",MID-PACIFC OCEAN,39.866,-74.25003
Panama City,"Panama City, PANAMA",PANAMA,8.9714493,-79.5341802
Libya,"Libya, SOUTH ATLANTIC OCEAN",SOUTH ATLANTIC OCEAN,-45.0,-15.0
North of Pernambuco Brazil,"North of Pernambuco Brazil, SOUTH ATLANTIC OCEAN",SOUTH ATLANTIC OCEAN,-45.0,-15.0
Ecuador,"Ecuador, PACIFIC OCEAN",PACIFIC OCEAN,3.51342,-132.1875
Trelawney Province,"Trelawney Province, JAMAICA",JAMAICA,6.8955305,79.8558463
In Convoy OB,"In Convoy OB, SOUTH ATLANTIC OCEAN",SOUTH ATLANTIC OCEAN,-45.0,-15.0
New Georgia,"New Georgia, SOLOMON ISLANDS",SOLOMON ISLANDS,-8.2964048,157.6770861
Panama Bay,"Panama Bay, PANAMA",PANAMA,8.559559,-81.1308434
Adriatic Sea,"Adriatic Sea, SLOVENIA",SLOVENIA,46.08333,15.0
Bwagaoia,"Bwagaoia, NEW GUINEA",NEW GUINEA,-5.0,140.0
Papuan Gulf,"Papuan Gulf, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-7.7246,145.08545
Carabobo,"Carabobo, VENEZUELA",VENEZUELA,10.166667,-68.083333
Ascension Bay,"Ascension Bay, CURACAO",CURACAO,12.2734579,-69.061999
North China,"North China, CHINA",CHINA,25.7059082,-99.2396385
Lower San Juan River,"Lower San Juan River, NICARAGUA",NICARAGUA,10.93886,-83.69796
Nicoya Peninsula,"Nicoya Peninsula, COSTA RICA",COSTA RICA,10.0910986,-85.5011119
Basrah City,"Basrah City, IRAQ",IRAQ,30.5805102,47.5690327
West Bengal,"West Bengal, INDIA",INDIA,22.9964948,87.6855882
Argyll,"Argyll, SCOTLAND",SCOTLAND,57.8967251,-5.15604
Arran,"Arran, SCOTLAND",SCOTLAND,55.5774442,-5.2521351
Fishing Grounds,"Fishing Grounds, ICELAND",ICELAND,65.0,-18.0
Newfoundland,"Newfoundland, CANADA",CANADA,49.1212094,-56.6962962
Isle of Wight,"Isle of Wight, UNITED KINGDOM",UNITED KINGDOM,50.6710482,-1.3327111
Adriatic Sea,"Adriatic Sea, CROATIA",CROATIA,42.8908626,17.4552953
Northern Oro Province,"Northern Oro Province, PAPUA NEW GUINEA",PAPUA NEW GUINEA,-9.0,148.5
Herzliyah,"Herzliyah, ISRAEL",ISRAEL,32.16627,34.82536
Elqui Province,"Elqui Province, CHILE",CHILE,-33.0413856,-71.6449033
Istanbul,"Istanbul, TURKEY",TURKEY,41.0096334,28.9651646
St Michael Parish,"St Michael Parish, BARBADOS",BARBADOS,13.16667,-59.53333
Barlavento Islands,"Barlavento Islands, CAPE VERDE",CAPE VERDE,17.0555285,-25.1723049
Bay of Fundy,"Bay of Fundy, CANADA",CANADA,45.0427719,-65.9235249
Niua,"Niua, TONGA",TONGA,-20.0,-175.0
Black River,"Black River, HONDURAS",HONDURAS,16.3723051,-86.4588298
Phoenix Islands,"Phoenix Islands, KIRIBATI",KIRIBATI,-2.8155,-171.6711445
Cienfuegos Province,"Cienfuegos Province, CUBA",CUBA,22.1457501,-80.4526242
Valencia,"Valencia, SPAIN",SPAIN,39.4697065,-0.3763353
Santiago Island,"Santiago Island, CAPE VERDE",CAPE VERDE,15.1200758,-23.6348181
Puntarenas,"Puntarenas, COSTA RICA",COSTA RICA,9.137403,-83.2367061
Porto Seguro,"Porto Seguro, BRAZIL",BRAZIL,-16.443473,-39.064251
Salinas Bay,"Salinas Bay, NICARAGUA",NICARAGUA,12.4495823,-86.8742684
Sants Montjic,"Sants Montjic, SPAIN",SPAIN,40.0,-4.0
South of the Equator,"South of the Equator, SOUTH ATLANTIC OCEAN",SOUTH ATLANTIC OCEAN,-45.0,-15.0
Bay of Monaco,"Bay of Monaco, MONACO",MONACO,43.738449,7.4242241
Isle of Wight,"Isle of Wight, ENGLAND",ENGLAND,50.6710482,-1.3327111
Vancouver,"Vancouver, CANADA",CANADA,49.2608724,-123.1139529
Taboguilla Island,"Taboguilla Island, PANAMA",PANAMA,8.8081497,-79.5151106
Dorset,"Dorset, ENGLAND",ENGLAND,50.7968368,-2.3447323
,", PANAMA",PANAMA,8.559559,-81.1308434
Central Province,"Central Province, SOLOMON ISLANDS",SOLOMON ISLANDS,-8.5029955,158.8329719
Galicia,"Galicia, SPAIN",SPAIN,42.61946,-7.863112
Demerara County,"Demerara County, GUYANA",GUYANA,6.6021156,-58.5342281
Vera Cruz,"Vera Cruz, MEXICO",MEXICO,-37.8167916,-72.689595
Manila Bay,"Manila Bay, PHILIPPINES",PHILIPPINES,14.5907332,120.9809674
Lucy,"Lucy, BARBADOS",BARBADOS,13.3024068,-59.6129445
Yorkshire,"Yorkshire, ENGLAND",ENGLAND,53.9825271,-1.38525
Westmoreland Parish,"Westmoreland Parish, JAMAICA",JAMAICA,30.693925,-90.63161
Cavite Province Luzon,"Cavite Province Luzon, PHILIPPINES",PHILIPPINES,15.6783028,120.7697171
